Dataset ID,Diff Amount
aaibgjfcg,nan
aaibfcdae,nan
aaibhebeh,nan
aahibhdeh,78
aahibibgj,439
aahicaeda,12
aahicafga,nan
aahicagej,63
aahicghci,nan
aahicgifd,nan
aahichdbb,nan
aahichdcd,nan
aahiciceh,32
aahichdaj,27
aahicjfdd,nan
aahicihej,nan
aahidaefh,142
aahidaegb,142
aahiciceh,32
aaihjaheg,585
aaihjdgdg,19
aaihjgiga,859
aaiiacfhc,707
aaiibahhd,1884
aafjjehej,1375
aagaaeefj,103
aagabbjac,186
aaidehfjf,nan
aaideibbd,nan
aaidfhcjf,43
aaidfiegj,17
aaidfjifi,20
aaidgagbf,16
aaidgcaed,nan
aaididdcc,nan
aaidieeih,20
aadagecbg,796
aadbcegha,81
aaheaeadc,89
aaffdgcid,58
aaffdheij,58
aaffdiage,102
aaffdijdc,28
aaffdijdc,28
aaffdijjg,28
aaffeacij,11
aaffeafcj,3577
aaffdiage,102
aaffdjjaa,204
aaffdhejj,103
aaffecjha,6
aajbfefjj,60
aajbffadh,151
aajcfiaid,96
aajfacdce,nan
aajfacfih,2047
aajfadgji,469
aajfbdfhd,nan
aajfcgfaj,3
aajfdjbgg,22
aajfgifgi,1
aajfhahfd,12
aajfhidab,47
aajfhhiib,113
aajfiefig,17
aajfiheie,29
aajfiibfb,71
aaeehidje,805
aaeeiccjh,727
aaeeihghf,598
aaeejjfbc,1790
aaefagbgc,29
aaefbcbdf,437
aaefbcfgi,339
aaefbdbab,nan
aaefbddgf,591
aaefbeedb,8
aaefbfhbj,18
aaefbgdbg,16
aaehaifef,9
aaehaijbi,337
aaehbcgjg,16
aaehcahij,41
aaehiggee,nan
aaeiafdie,nan
aaeidhbgg,15
aaeidhcjb,15
aaeidieee,45
aaeidieej,1
aaeidjhch,52
aaeiebdgb,37
aaeiedbjg,305
aaeieejja,6150
aaeiefagi,98
aaeieedge,52
aaeigaacj,5614
aaeigaabg,1919
aaeigccaj,1408
aaefdcefb,2990
aaefecjfa,225
aaefgieea,nan
aaefhbbdc,510
aaefhaief,1269
aaefhhbid,411
aahieffgd,275
aahiggdga,39
aahiiefbf,161
aahiiefbi,1318
aahiieffc,1060
aahiiegaf,1318
aahiiehcf,86
aahiifcef,1371
aahiigije,108
aahiigijg,1962
aahiihjjg,211
aafaeccie,128
aafaefbjg,43
aafaehach,588
aafbbfaaj,10
aafbfhjef,89
aafbheeah,89
aafbhhach,377
aajfefiaf,630
aajfefihb,949
aajfejeha,267
aajffbgfi,260
aajffcjii,728
aajffebhi,508
aajgccaef,37
aajgcfgdg,498
aajgcicdi,21
aajgcifai,569
aajgcjffb,108
aajgdeecf,1188
aajgdgaed,1307
aajgdbgid,451
aajgdiheg,21
aajgefiaf,1335
aajgefjja,427
aajgfdhgh,1410
aajggdgde,35
aajghfcje,280
aajhbhjgb,294
aajdbjejb,176
aajdcgebb,601
aajdcgacj,17
aajdicihc,414
aajdjdccc,353
aajeafhbg,2650
aajebahia,319
aajebahia,319
aajecbhcg,nan
aajecbhcg,nan
aajegiabc,288
aajegihdi,191
aajegihec,191
aajehebic,1414
aajehhegg,1699
aaidjehdc,490
aaidjgdji,3
aaieabghg,204
aaieabjfj,51
aaieabbgj,nan
aaidjfeih,34
aaiebagaa,806
aaiebefbh,120
aaiecejcc,2481
aaiedcfha,526
aaieffffb,172
aaieffgij,478
aaiefgcjd,290
aaiefjbdg,266
aaiefjjib,9
aaifbdheg,269
aaeefiahb,1864
aaeiicajg,261
aaeiiihac,800
aaejahaec,85
aaejahaec,85
aaeffajfh,23
aaeffbaed,407
aaegfadac,40
aaegfdgbi,408
aaegfjdga,409
aaegfjdjb,666
aaeggadce,3
aaeggafge,144
aaegihffd,11
aafdibbfd,23
aafdiegjf,73
aahgegeef,195
aahgffjcf,26
aahgfgfcb,427
aaebieajg,668
aaebijbee,63
aaebjiiah,2680
aaebjihaa,2238
aahgfihag,61
aahgfjfhj,938
aahggaehh,211
aahggaiee,22
aaiefadde,nan
aaieicafe,423
aaifcdebg,59
aaiffchcc,672
aaifgbdcc,70
aaifgcjei,62
aaifgdjdc,9
aaifggehf,13
aaifhfegh,1632
aaifhghej,490
aaifhhgif,209
aaifhhgfd,370
aaifjabad,1114
aaifjcjae,18
aaifjedif,nan
aaifjjccj,0
aaigbchbj,730
aaigbchde,730
aaigbejdd,nan
aaigajdje,nan
aaiiebdij,6567
aaiihdfjc,597
aaiiigjef,524
aaiiijbab,43
aaiijcagg,54
aaiijbibh,11
aaijahbgc,28
aaijcgjeh,nan
aaijchbde,nan
aaijdddec,nan
aaijdefhe,nan
aaijddddf,nan
aaijdefji,nan
aaijdegaa,nan
aaijicdjf,nan
aaijjfdeb,nan
aajabgade,nan
aajadabgc,nan
aaigebhdh,nan
aaigebhce,nan
aaigebhcf,nan
aaigebhcf,nan
aaigjhibg,nan
aaigjhibg,nan
aaigiaegb,nan
aaigjhibg,nan
aaighiccd,nan
aaigedccf,nan
aaigddcfc,nan
aaihaahdc,nan
aagiehhgb,36
aagiehiec,73
aagifahee,nan
aagifahef,nan
aagigfafa,756
aahbibhce,660
aahcgeaed,5
aahcgfegd,8
aahcggffj,380
aahcgjaej,84
